name,name_ESPN,odds,line,home,away,bet_type,id,changed_date
"Reddish, Cameron",CameronReddish,2.0,19.5,phi,atl,PTS,3038028022,2021-12-23T17:00:12Z
"Maxey, Tyrese",TyreseMaxey,1.89,16.5,phi,atl,PTS,3038028024,2021-12-23T17:00:12Z
"Thybulle, Matisse",MatisseThybulle,1.79,6.5,phi,atl,PTS,3038028026,2021-12-23T17:00:12Z
"Collins, John",JohnCollins,1.79,19.5,phi,atl,PTS,3038028030,2021-12-23T17:00:13Z
"Curry, Seth",SethCurry,1.89,15.5,phi,atl,PTS,3038028032,2021-12-23T17:00:13Z
"Harris, Tobias",TobiasHarris,1.79,17.5,phi,atl,PTS,3038028034,2021-12-23T17:00:13Z
"Wright, Delon",DelonWright,2.0,9.5,phi,atl,PTS,3038028036,2021-12-23T17:00:13Z
"Dieng, Gorgui",GorguiDieng,1.89,8.5,phi,atl,PTS,3038028038,2021-12-23T17:00:46Z
"Dieng, Gorgui",GorguiDieng,2.05,16.5,phi,atl,ARP,3038028157,2021-12-23T20:15:34Z
"Reddish, Cameron",CameronReddish,1.89,25.5,phi,atl,ARP,3038028159,2021-12-23T17:04:20Z
"Maxey, Tyrese",TyreseMaxey,1.89,24.5,phi,atl,ARP,3038028161,2021-12-23T17:04:20Z
"Thybulle, Matisse",MatisseThybulle,2.0,11.5,phi,atl,ARP,3038028163,2021-12-23T17:04:21Z
"Embiid, Joel",JoelEmbiid,1.89,42.5,phi,atl,ARP,3038028165,2021-12-23T17:04:21Z
"Collins, John",JohnCollins,2.0,31.5,phi,atl,ARP,3038028167,2021-12-23T17:04:21Z
"Curry, Seth",SethCurry,1.89,21.5,phi,atl,ARP,3038028169,2021-12-23T17:04:21Z
"Harris, Tobias",TobiasHarris,1.89,28.5,phi,atl,ARP,3038028171,2021-12-23T17:04:21Z
"Wright, Delon",DelonWright,2.0,20.5,phi,atl,ARP,3038028173,2021-12-23T17:04:21Z
"Embiid, Joel",JoelEmbiid,1.9,27.5,phi,atl,PTS,3038070687,2021-12-23T19:54:08Z
"Dedmon, Dewayne",DewayneDedmon,1.89,9.5,mia,det,PTS,3037965060,2021-12-23T13:21:22Z
"Robinson, Duncan",DuncanRobinson,1.89,13.5,mia,det,PTS,3037965062,2021-12-23T13:21:22Z
"Vincent, Gabe",GabeVincent,2.0,13.5,mia,det,PTS,3037965064,2021-12-23T13:21:22Z
"Strus, Max",MaxStrus,1.8,14.5,mia,det,PTS,3037965066,2021-12-23T15:26:07Z
"Lowry, Kyle",KyleLowry,1.79,15.5,mia,det,PTS,3037965068,2021-12-23T13:21:22Z
"Dedmon, Dewayne",DewayneDedmon,1.89,20.5,mia,det,ARP,3037965222,2021-12-23T13:23:46Z
"Robinson, Duncan",DuncanRobinson,1.89,19.5,mia,det,ARP,3037965224,2021-12-23T13:23:46Z
"Vincent, Gabe",GabeVincent,1.79,20.5,mia,det,ARP,3037965226,2021-12-23T13:23:47Z
"Strus, Max",MaxStrus,1.89,21.5,mia,det,ARP,3037965228,2021-12-23T13:23:47Z
"Lowry, Kyle",KyleLowry,2.0,31.5,mia,det,ARP,3037965230,2021-12-23T13:23:47Z
"Diallo, Hamidou",HamidouDiallo,1.79,12.5,mia,det,PTS,3038025870,2021-12-23T15:43:11Z
"Bey, Saddiq",SaddiqBey,1.89,17.5,mia,det,PTS,3038025872,2021-12-23T15:43:11Z
"Stewart, Isaiah",IsaiahStewart,2.0,10.5,mia,det,PTS,3038025874,2021-12-23T15:43:11Z
"Diallo, Hamidou",HamidouDiallo,1.89,19.5,mia,det,ARP,3038025884,2021-12-23T15:44:39Z
"Bey, Saddiq",SaddiqBey,1.89,26.5,mia,det,ARP,3038025886,2021-12-23T15:44:40Z
"Stewart, Isaiah",IsaiahStewart,1.79,20.5,mia,det,ARP,3038025888,2021-12-23T15:44:40Z
"Gafford, Daniel",DanielGafford,1.89,8.5,ny,wsh,PTS,3037948697,2021-12-23T12:38:49Z
"Kuzma, Kyle",KyleKuzma,2.0,12.5,ny,wsh,PTS,3037948699,2021-12-23T12:38:49Z
"Randle, Julius",JuliusRandle,2.0,22.5,ny,wsh,PTS,3037948701,2021-12-23T17:19:13Z
"Robinson, Mitchell",MitchellRobinson,1.72,7.5,ny,wsh,PTS,3037948703,2021-12-23T17:18:12Z
"Beal, Bradley",BradleyBeal,1.79,24.5,ny,wsh,PTS,3037948707,2021-12-23T12:38:50Z
"Dinwiddie, Spencer",SpencerDinwiddie,1.89,11.5,ny,wsh,PTS,3037948709,2021-12-23T12:38:50Z
"Gafford, Daniel",DanielGafford,1.89,16.5,ny,wsh,ARP,3037949086,2021-12-23T12:42:23Z
"Kuzma, Kyle",KyleKuzma,2.0,21.5,ny,wsh,ARP,3037949088,2021-12-23T12:42:23Z
"Beal, Bradley",BradleyBeal,1.89,34.5,ny,wsh,ARP,3037949096,2021-12-23T12:42:24Z
"Dinwiddie, Spencer",SpencerDinwiddie,2.0,20.5,ny,wsh,ARP,3037949098,2021-12-23T12:42:24Z
"Burks, Alec",AlecBurks,1.89,15.5,ny,wsh,PTS,3038048784,2021-12-23T17:22:15Z
"Fournier, Evan",EvanFournier,1.79,15.5,ny,wsh,PTS,3038048786,2021-12-23T17:22:15Z
"Burks, Alec",AlecBurks,1.89,23.5,ny,wsh,ARP,3038048798,2021-12-23T17:23:04Z
"Randle, Julius",JuliusRandle,1.89,36.5,ny,wsh,ARP,3038048800,2021-12-23T17:23:04Z
"Robinson, Mitchell",MitchellRobinson,2.0,17.5,ny,wsh,ARP,3038048802,2021-12-23T17:23:04Z
"Fournier, Evan",EvanFournier,1.89,21.5,ny,wsh,ARP,3038048804,2021-12-23T17:23:04Z
"Plumlee, Mason",MasonPlumlee,1.79,5.5,den,cha,PTS,3038016226,2021-12-23T15:20:02Z
"Green, Jeff",JeffGreen,1.89,11.5,den,cha,PTS,3038016228,2021-12-23T15:20:02Z
"Jokic, Nikola",NikolaJokic,1.89,26.5,den,cha,PTS,3038016230,2021-12-23T15:20:02Z
"Barton, Will",WillBarton,1.89,15.5,den,cha,PTS,3038016232,2021-12-23T15:20:02Z
"Hayward, Gordon",GordonHayward,1.89,16.5,den,cha,PTS,3038016234,2021-12-23T15:20:03Z
"Gordon, Aaron",AaronGordon,1.89,14.5,den,cha,PTS,3038016236,2021-12-23T15:20:03Z
"Bridges, Miles",MilesBridges,1.89,18.5,den,cha,PTS,3038016238,2021-12-23T15:20:03Z
"Rozier, Terry",TerryRozier,1.89,15.5,den,cha,PTS,3038016240,2021-12-23T15:20:03Z
"Ball, LaMelo",LaMeloBall,1.89,19.5,den,cha,PTS,3038016242,2021-12-23T15:20:03Z
"Morris, Monte",MonteMorris,1.79,12.5,den,cha,PTS,3038016244,2021-12-23T15:20:03Z
"Plumlee, Mason",MasonPlumlee,1.89,13.5,den,cha,ARP,3038016800,2021-12-23T15:24:24Z
"Green, Jeff",JeffGreen,1.89,16.5,den,cha,ARP,3038016802,2021-12-23T15:24:24Z
"Jokic, Nikola",NikolaJokic,1.89,47.5,den,cha,ARP,3038016804,2021-12-23T15:24:24Z
"Barton, Will",WillBarton,1.79,23.5,den,cha,ARP,3038016806,2021-12-23T15:24:24Z
"Hayward, Gordon",GordonHayward,1.89,24.5,den,cha,ARP,3038016808,2021-12-23T15:24:24Z
"Gordon, Aaron",AaronGordon,1.89,22.5,den,cha,ARP,3038016810,2021-12-23T15:24:24Z
"Bridges, Miles",MilesBridges,1.89,28.5,den,cha,ARP,3038016812,2021-12-23T15:24:24Z
"Rozier, Terry",TerryRozier,1.89,22.5,den,cha,ARP,3038016814,2021-12-23T15:24:24Z
"Ball, LaMelo",LaMeloBall,1.71,33.5,den,cha,ARP,3038016816,2021-12-23T18:08:19Z
"Morris, Monte",MonteMorris,1.79,19.5,den,cha,ARP,3038016818,2021-12-23T15:24:24Z
"Gobert, Rudy",RudyGobert,1.79,15.5,utah,min,PTS,3037952044,2021-12-23T13:35:53Z
"Conley, Mike",MikeConley,1.79,13.5,utah,min,PTS,3037952046,2021-12-23T13:35:54Z
"O'Neale, Royce",RoyceO'Neale,2.1,8.5,utah,min,PTS,3037952048,2021-12-23T13:35:54Z
"Bogdanović, Bojan",BojanBogdanović,2.0,17.5,utah,min,PTS,3037952050,2021-12-23T13:35:54Z
"Mitchell, Donovan",DonovanMitchell,2.0,26.5,utah,min,PTS,3037952052,2021-12-23T13:35:54Z
"Gobert, Rudy",RudyGobert,1.89,32.5,utah,min,ARP,3037952332,2021-12-23T13:37:58Z
"Conley, Mike",MikeConley,1.79,22.5,utah,min,ARP,3037952334,2021-12-23T13:37:58Z
"O'Neale, Royce",RoyceO'Neale,1.79,16.5,utah,min,ARP,3037952336,2021-12-23T13:37:58Z
"Bogdanović, Bojan",BojanBogdanović,1.79,22.5,utah,min,ARP,3037952338,2021-12-23T13:37:58Z
"Mitchell, Donovan",DonovanMitchell,1.89,35.5,utah,min,ARP,3037952340,2021-12-23T13:37:58Z
"Ayton, Deandre",DeandreAyton,2.0,16.5,phx,okc,PTS,3038047100,2021-12-23T16:25:36Z
"Bridges, Mikal",MikalBridges,1.95,11.5,phx,okc,PTS,3038047102,2021-12-23T19:09:47Z
"Crowder, Jae",JaeCrowder,1.89,9.5,phx,okc,PTS,3038047104,2021-12-23T16:25:36Z
"Dort, Luguentz",LuguentzDort,1.79,16.5,phx,okc,PTS,3038047106,2021-12-23T16:25:36Z
"Gilgeous-Alexander, Shai",ShaiGilgeous-Alexander,1.89,21.5,phx,okc,PTS,3038047108,2021-12-23T16:25:37Z
"Robinson-Earl, Jeremiah",JeremiahRobinson-Earl,1.94,8.5,phx,okc,PTS,3038047110,2021-12-23T17:56:43Z
"Booker, Devin",DevinBooker,1.86,22.5,phx,okc,PTS,3038047114,2021-12-23T20:07:18Z
"Paul, Chris",ChrisPaul,1.89,12.5,phx,okc,PTS,3038047116,2021-12-23T16:25:37Z
"Ayton, Deandre",DeandreAyton,1.89,29.5,phx,okc,ARP,3038047257,2021-12-23T16:29:17Z
"Bridges, Mikal",MikalBridges,1.89,17.5,phx,okc,ARP,3038047259,2021-12-23T16:29:18Z
"Crowder, Jae",JaeCrowder,1.79,15.5,phx,okc,ARP,3038047261,2021-12-23T16:29:18Z
"Dort, Luguentz",LuguentzDort,2.0,22.5,phx,okc,ARP,3038047263,2021-12-23T16:29:18Z
"Gilgeous-Alexander, Shai",ShaiGilgeous-Alexander,1.89,31.5,phx,okc,ARP,3038047265,2021-12-23T16:29:18Z
"Robinson-Earl, Jeremiah",JeremiahRobinson-Earl,1.89,15.5,phx,okc,ARP,3038047267,2021-12-23T16:29:18Z
"Giddey, Josh",JoshGiddey,2.0,25.5,phx,okc,ARP,3038047269,2021-12-23T16:29:18Z
"Booker, Devin",DevinBooker,1.89,31.5,phx,okc,ARP,3038047271,2021-12-23T16:29:18Z
"Paul, Chris",ChrisPaul,1.89,26.5,phx,okc,ARP,3038047273,2021-12-23T16:29:18Z
"Giddey, Josh",JoshGiddey,1.89,12.5,phx,okc,PTS,3038083267,2021-12-23T18:31:07Z
"Looney, Kevon",KevonLooney,2.1,7.5,gs,mem,PTS,3037926254,2021-12-23T12:19:13Z
"Curry, Stephen",StephenCurry,1.89,30.5,gs,mem,PTS,3037926256,2021-12-23T12:19:14Z
"Jackson Jr., Jaren",JarenJackson Jr.,1.89,15.5,gs,mem,PTS,3037926258,2021-12-23T12:19:14Z
"Bane, Desmond",DesmondBane,1.89,16.5,gs,mem,PTS,3037926260,2021-12-23T12:19:14Z
"Adams, Steven",StevenAdams,1.89,6.5,gs,mem,PTS,3037926262,2021-12-23T12:19:14Z
"Green, Draymond",DraymondGreen,2.0,10.5,gs,mem,PTS,3037926264,2021-12-23T12:19:14Z
"Morant, Ja",JaMorant,1.89,22.5,gs,mem,PTS,3037926266,2021-12-23T12:19:14Z
"Brooks, Dillon",DillonBrooks,1.89,20.5,gs,mem,PTS,3037926268,2021-12-23T12:19:14Z
"Looney, Kevon",KevonLooney,1.79,14.5,gs,mem,ARP,3037926292,2021-12-23T12:23:02Z
"Curry, Stephen",StephenCurry,1.89,41.5,gs,mem,ARP,3037926294,2021-12-23T12:23:02Z
"Jackson Jr., Jaren",JarenJackson Jr.,1.89,22.5,gs,mem,ARP,3037926296,2021-12-23T12:23:02Z
"Bane, Desmond",DesmondBane,1.89,23.5,gs,mem,ARP,3037926298,2021-12-23T12:23:02Z
"Adams, Steven",StevenAdams,1.79,17.5,gs,mem,ARP,3037926300,2021-12-23T12:23:02Z
"Green, Draymond",DraymondGreen,1.89,26.5,gs,mem,ARP,3037926302,2021-12-23T12:23:03Z
"Morant, Ja",JaMorant,1.83,34.5,gs,mem,ARP,3037926304,2021-12-23T12:45:19Z
"Brooks, Dillon",DillonBrooks,1.79,26.5,gs,mem,ARP,3037926306,2021-12-23T12:23:03Z
"Poeltl, J.",J.Poeltl,2.0,12.5,lal,sa,PTS,3037923764,2021-12-23T12:03:20Z
"Murray, Dejounte",DejounteMurray,1.84,18.5,lal,sa,PTS,3037923766,2021-12-23T15:51:26Z
"White, Derrick",DerrickWhite,1.89,16.5,lal,sa,PTS,3037923768,2021-12-23T12:03:20Z
"Johnson, Keldon",KeldonJohnson,1.89,14.5,lal,sa,PTS,3037923770,2021-12-23T12:03:20Z
"McDermott, Doug",DougMcDermott,1.79,12.5,lal,sa,PTS,3037923772,2021-12-23T12:03:21Z
"Ellington, Wayne",WayneEllington,1.79,8.5,lal,sa,PTS,3037923774,2021-12-23T12:03:21Z
"James, LeBron",LeBronJames,1.82,27.5,lal,sa,PTS,3037923776,2021-12-23T18:09:23Z
"Westbrook, Russell",RussellWestbrook,1.89,20.5,lal,sa,PTS,3037923778,2021-12-23T12:03:21Z
"Poeltl, J.",J.Poeltl,1.79,25.5,lal,sa,ARP,3037923820,2021-12-23T12:06:30Z
"Murray, Dejounte",DejounteMurray,1.89,36.5,lal,sa,ARP,3037923822,2021-12-23T12:06:30Z
"White, Derrick",DerrickWhite,1.89,25.5,lal,sa,ARP,3037923824,2021-12-23T12:06:31Z
"Johnson, Keldon",KeldonJohnson,1.89,23.5,lal,sa,ARP,3037923826,2021-12-23T12:06:31Z
"McDermott, Doug",DougMcDermott,1.89,17.5,lal,sa,ARP,3037923828,2021-12-23T12:06:31Z
"Ellington, Wayne",WayneEllington,1.89,12.5,lal,sa,ARP,3037923830,2021-12-23T12:06:31Z
"James, LeBron",LeBronJames,1.96,41.5,lal,sa,ARP,3037923832,2021-12-23T18:09:42Z
"Westbrook, Russell",RussellWestbrook,1.89,36.5,lal,sa,ARP,3037923834,2021-12-23T12:06:31Z
"Carter Jr., Wendell",WendellCarter Jr.,1.79,13.5,mia,orl,PTS,3038815084,2021-12-26T19:37:19Z
"Harris, Gary",GaryHarris,1.82,13.5,mia,orl,PTS,3038846950,2021-12-26T19:37:24Z
"Wagner, Franz",FranzWagner,1.86,19.5,mia,orl,PTS,3038847287,2021-12-26T19:38:34Z
"Wagner, Franz",FranzWagner,1.89,28.5,mia,orl,ARP,3038847362,2021-12-26T20:13:29Z
"Harris, Gary",GaryHarris,1.86,19.5,mia,orl,ARP,3038847366,2021-12-26T19:44:27Z
